route_id,stop_sequence,stop_id,latitude,longitude,distance_from_prev_km,road_type,planned_arrival,actual_arrival,time_window_open,time_window_close,planned_service_min,actual_service_min,planned_travel_min,actual_travel_min,delay_at_stop_min,missed_time_window,delay_probability,package_count,package_weight_kg
RT-0001,1,STP-95181,39.620795,37.051712,9.85,mountain,2025-02-23 15:56:52,2025-02-23 16:05:16,2025-02-23 15:46:52,2025-02-23 16:11:52,11.7,12.0,13.1,21.5,8.4,0,0.37,11,14.3
RT-0001,2,STP-38221,39.774328,37.001957,17.59,mountain,2025-02-23 16:32:04,2025-02-23 16:55:52,2025-02-23 16:11:04,2025-02-23 17:01:04,6.4,5.6,23.5,38.6,15.1,0,0.283,2,36.6
RT-0001,3,STP-80284,39.274896,37.353377,63.19,mountain,2025-02-23 18:02:46,2025-02-23 19:19:52,2025-02-23 17:32:46,2025-02-23 18:31:46,6.2,6.4,84.3,138.4,54.1,1,0.407,12,29.1
RT-0001,4,STP-19116,39.227495,36.936739,36.26,mountain,2025-02-23 18:57:16,2025-02-23 20:45:34,2025-02-23 18:40:16,2025-02-23 19:10:16,9.3,8.0,48.3,79.3,31.0,1,0.306,15,32.0
RT-0001,5,STP-57819,39.297592,37.013162,10.2,mountain,2025-02-23 19:20:10,2025-02-23 21:15:52,2025-02-23 18:50:10,2025-02-23 19:32:10,15.1,20.6,13.6,22.3,8.7,1,0.352,6,26.9
RT-0001,6,STP-42087,39.298041,37.027673,1.25,mountain,2025-02-23 19:36:58,2025-02-23 21:39:16,2025-02-23 19:09:58,2025-02-23 19:53:58,19.8,26.0,1.7,2.8,1.1,1,0.367,2,11.8
RT-0001,7,STP-14207,39.683027,37.040699,42.82,mountain,2025-02-23 20:53:52,2025-02-23 23:39:04,2025-02-23 20:25:52,2025-02-23 21:13:52,6.0,9.2,57.1,93.8,36.7,1,0.273,16,20.1
RT-0001,8,STP-94259,39.475311,36.958928,24.14,mountain,2025-02-23 21:32:04,2025-02-24 00:41:10,2025-02-23 21:14:04,2025-02-23 22:00:04,8.7,10.9,32.2,52.9,20.7,1,0.316,19,20.3
RT-0001,9,STP-38746,39.798395,36.882999,36.51,mountain,2025-02-23 22:29:28,2025-02-24 02:12:04,2025-02-23 22:16:28,2025-02-23 22:43:28,12.4,17.4,48.7,80.0,31.3,1,0.356,14,30.0
RT-0002,1,STP-44522,39.783133,37.257177,64.66,highway,2025-04-18 16:56:16,2025-04-18 17:10:22,2025-04-18 16:26:16,2025-04-18 17:15:16,12.6,11.2,43.1,57.2,14.1,0,0.275,17,30.6
